from;to;cost;profit;category
3;21;146.956.590.436.414;932;Museum
3;22;665.909.281.679.405;155;Museum
3;23;255.716.972.304.637;1056;Historical
3;24;777.319.076.111.429;572;Park
3;25;24.869.638.492.841;1042;Historical
3;26;296.887.137.181.193;860;Historical
3;27;182.372.515.733.811;453;Cultural
3;28;354.797.455.264.371;79;Museum
3;29;784.652.483.061.815;122;Park
4;1;470.482.001.718.146;1399;Palace
4;2;543.924.068.936.461;1478;Zoo
4;3;249.286.715.038.997;1243;Entertainment
4;5;296.383.299.688.462;1750;Palace
4;6;480.460.501.049.253;1581;Museum
4;7;173.955.645.076.863;539;Palace
4;8;508.567.775.684.099;571;Structure
4;9;590.715.497.669.954;1113;Museum
4;10;133.779.306.168.191;352;Zoo
4;11;694.031.107.571.217;2802;Museum
4;13;402.674.133.387.029;131;Museum
4;14;297.911.078.543.597;164;Museum
4;15;362.469.721.444.632;2030;Entertainment
4;16;771.004.094.093.716;4539;Museum
4;17;595.180.119.406.246;5533;Historical
4;18;190.421.787.436.193;963;Historical
4;19;412.860.102.364.791;268;Museum
4;20;730.663.364.114.275;1761;Historical
4;21;108.533.195.180.377;932;Museum
4;22;203.206.953.230.502;155;Museum
4;23;191.790.036.841.787;1056;Historical
4;24;529.943.596.153.479;572;Park
4;25;212.590.753.892.689;1042;Historical
4;26;82.607.504.505.882;860;Historical
4;27;669.210.478.906.551;453;Cultural
4;28;258.660.491.933.189;79;Museum
4;29;537.451.358.388.079;122;Park
5;1;465.753.807.495.913;1399;Palace
5;2;538.518.973.348.009;1478;Zoo
5;3;25.410.942.244.973;1243;Entertainment
5;4;296.383.299.688.462;1042;Museum
5;6;423.952.922.090.789;1581;Museum
5;7;203.482.861.557.519;539;Palace
5;8;5.032.127.802.876;571;Structure
5;9;423.576.556.879.533;1113;Museum
5;10;135.090.244.462.973;352;Zoo
5;11;649.967.780.104.837;2802;Museum
5;13;39.503.260.024.737;131;Museum
5;14;286.009.666.178.473;164;Museum
5;15;127.188.779.366.674;2030;Entertainment
5;16;65.767.882.848.515;4539;Museum
5;17;615.440.611.724.056;5533;Historical
5;18;347.130.473.152.638;963;Historical
5;19;652.658.410.804.722;268;Museum
5;20;101.716.101.062.593;1761;Historical
5;21;122.228.399.206.344;932;Museum
5;22;21.435.853.944.614;155;Museum
5;23;47.838.190.386.049;1056;Historical
5;24;523.246.960.129.929;572;Park
5;25;946.376.833.690.911;1042;Historical
5;26;561.571.011.803.772;860;Historical
5;27;756.601.878.158.248;453;Cultural
5;28;288.212.755.366.216;79;Museum
5;29;530.559.144.610.996;122;Park
6;1;42.511.484.871.629;1399;Palace
6;2;4.982.171.292.996;1478;Zoo
6;3;294.062.025.180.365;1243;Entertainment
6;4;480.460.501.049.253;1042;Museum
6;5;423.952.922.090.789;1750;Palace
6;7;198.301.144.409.564;539;Palace
6;8;545.607.351.199.253;571;Structure
6;9;200.666.275.053.133;1113;Museum
6;10;926.967.444.547.498;352;Zoo
6;11;229.182.434.773.606;2802;Museum
6;13;355.860.617.888.601;131;Museum
6;14;452.286.382.844.012;164;Museum
6;15;548.676.100.856.599;2030;Entertainment
6;16;293.516.459.646.518;4539;Museum
6;17;10.129.837.164.859;5533;Historical
6;18;651.073.124.760.956;963;Historical
6;19;886.659.806.069.866;268;Museum
6;20;951.972.356.662.205;1761;Historical
6;21;156.219.270.301.338;932;Museum
6;22;25.054.814.164.781;155;Museum
6;23;534.596.985.706.738;1056;Historical
6;24;483.595.361.713.583;572;Park
6;25;457.199.839.466.107;1042;Historical
6;26;544.948.542.988.082;860;Historical
6;27;112.546.663.991.516;453;Cultural
6;28;282.058.111.522.037;79;Museum
6;29;491.017.723.960.105;122;Park
7;1;517.280.865.413.866;1399;Palace
7;2;590.017.301.961.908;1478;Zoo
7;3;302.358.885.169.891;1243;Entertainment
7;4;173.955.645.076.863;1042;Museum
7;5;203.482.861.557.519;1750;Palace
7;6;198.301.144.409.564;1581;Museum
7;8;584.709.324.193.462;571;Structure
7;9;217.912.309.201.533;1113;Museum
7;10;216.531.381.210.759;352;Zoo
7;11;203.865.696.262.437;2802;Museum
7;13;469.707.403.573.298;131;Museum
7;14;203.746.676.412.166;164;Museum
7;15;209.345.429.400.212;2030;Entertainment
7;16;220.674.797.252.857;4539;Museum
7;17;198.516.346.383.969;5533;Historical
7;18;177.350.780.069.754;963;Historical
7;19;152.139.450.254.978;268;Museum
7;20;103.696.761.628.435;1761;Historical
7;21;178.910.238.217.398;932;Museum
7;22;236.129.403.149.744;155;Museum
7;23;155.848.420.081.935;1056;Historical
7;24;583.743.057.261.838;572;Park
7;25;195.151.406.512.043;1042;Historical
7;26;250.340.276.303.984;860;Historical
7;27;186.439.958.472.584;453;Cultural
7;28;847.512.982.512.779;79;Museum
7;29;591.913.994.808.651;122;Park
8;1;959.387.904.442.545;1399;Palace
8;2;102.932.269.606.016;1478;Zoo
8;3;282.379.850.161.291;1243;Entertainment
8;4;508.567.775.684.099;1042;Museum
8;5;5.032.127.802.876;1750;Palace
8;6;545.607.351.199.253;1581;Museum
8;7;584.709.324.193.462;539;Palace
8;9;541.061.723.070.968;1113;Museum
8;10;638.302.898.022.954;352;Zoo
8;11;568.032.597.940.971;2802;Museum
8;13;882.527.589.326.495;131;Museum
8;14;500.383.907.518.318;164;Museum
8;15;490.804.482.713.001;2030;Entertainment
8;16;565.564.155.690.376;4539;Museum
8;17;449.080.040.606.257;5533;Historical
8;18;489.839.757.826.921;963;Historical
8;19;486.250.690.943.928;268;Museum
8;20;54.837.903.585.212;1761;Historical
8;21;421.496.984.520.395;932;Museum
8;22;348.632.140.042.448;155;Museum
8;23;519.966.170.527.531;1056;Historical
8;24;101.050.173.404.427;572;Park
8;25;500.953.578.785.758;1042;Historical
8;26;52.875.434.296.502;860;Historical
8;27;445.148.335.938.911;453;Cultural
8;28;633.247.240.331.824;79;Museum
8;29;101.704.518.735.567;122;Park
9;1;424.347.011.005.236;1399;Palace
9;2;496.862.672.749.281;1478;Zoo
9;3;296.247.301.099.907;1243;Entertainment
9;4;590.715.497.669.954;1042;Museum
9;5;423.576.556.879.533;1750;Palace
9;6;200.666.275.053.133;1581;Museum
9;7;217.912.309.201.533;539;Palace
9;8;541.061.723.070.968;571;Structure
9;10;996.133.019.252.859;352;Zoo
9;11;309.762.903.624.057;2802;Museum
9;13;352.944.508.507.634;131;Museum
9;14;450.670.950.175.823;164;Museum
9;15;527.076.960.423.502;2030;Entertainment
9;16;245.504.242.133.804;4539;Museum
9;17;103.897.540.287.183;5533;Historical
9;18;729.649.742.055.524;963;Historical
9;19;100.296.422.418.388;268;Museum
9;20;114.498.693.398.148;1761;Historical
9;21;163.525.965.403.565;932;Museum
9;22;256.464.488.796.133;155;Museum
9;23;690.679.659.391.929;1056;Historical
9;24;48.128.375.747.167;572;Park
9;25;492.033.124.859.564;1042;Historical
9;26;346.404.292.497.162;860;Historical
9;27;117.661.224.807.588;453;Cultural
9;28;301.857.118.721.611;79;Museum
9;29;488.553.385.561.103;122;Park
10;1;338.158.484.453.827;1399;Palace
10;2;411.973.861.557.763;1478;Zoo
10;3;383.000.946.810.543;1243;Entertainment
10;4;133.779.306.168.191;1042;Museum
10;5;135.090.244.462.973;1750;Palace
10;6;926.967.444.547.498;1581;Museum
10;7;216.531.381.210.759;539;Palace
10;8;638.302.898.022.954;571;Structure
10;9;996.133.019.252.859;1113;Museum
10;11;704.926.636.665.106;2802;Museum
10;13;274.125.613.216.163;131;Museum
10;14;137.919.295.727.499;164;Museum
10;15;147.535.978.194.127;2030;Entertainment
10;16;765.208.124.339.341;4539;Museum
10;17;192.044.959.002.125;5533;Historical
10;18;15.274.097.795.949;963;Historical
10;19;167.726.970.652.559;268;Museum
10;20;136.318.900.623.438;1761;Historical
10;21;239.688.752.560.533;932;Museum
10;22;33.441.515.416.158;155;Museum
10;23;128.574.783.413.336;1056;Historical
10;24;399.333.946.525.869;572;Park
10;25;137.725.016.686.352;1042;Historical
10;26;123.267.944.478.961;860;Historical
10;27;200.684.775.940.239;453;Cultural
10;28;289.528.044.179.765;79;Museum
10;29;407.041.459.092.917;122;Park
11;1;402.308.709.913.465;1399;Palace
11;2;475.477.517.483.486;1478;Zoo
11;3;316.852.590.241.292;1243;Entertainment
11;4;694.031.107.571.217;1042;Museum
11;5;649.967.780.104.837;1750;Palace
11;6;229.182.434.773.606;1581;Museum
11;7;203.865.696.262.437;539;Palace
11;8;568.032.597.940.971;571;Structure
11;9;309.762.903.624.057;1113;Museum
11;10;704.926.636.665.106;352;Zoo
11;13;333.470.817.338.252;131;Museum
11;14;678.503.454.957.032;164;Museum
11;15;772.482.921.508.445;2030;Entertainment
11;16;173.247.360.408.581;4539;Museum
11;17;124.175.265.491.052;5533;Historical
11;18;872.725.052.567.409;963;Historical
11;19;108.735.978.489.679;268;Museum
11;20;103.693.459.511.901;1761;Historical
11;21;177.936.118.180.828;932;Museum
11;22;272.554.080.861.509;155;Museum
11;23;711.612.082.097.495;1056;Historical
11;24;461.025.698.322.161;572;Park
11;25;686.380.455.387.663;1042;Historical
11;26;621.992.028.410.884;860;Historical
11;27;135.058.774.857.105;453;Cultural
11;28;286.041.432.517.848;79;Museum
11;29;468.478.334.310.843;122;Park
13;1;817.878.235.074.929;1399;Palace
13;2;146.901.424.547.936;1478;Zoo
13;3;649.141.130.177.385;1243;Entertainment
13;4;402.674.133.387.029;1042;Museum
13;5;39.503.260.024.737;1750;Palace
13;6;355.860.617.888.601;1581;Museum
13;7;469.707.403.573.298;539;Palace
13;8;882.527.589.326.495;571;Structure
13;9;352.944.508.507.634;1113;Museum
13;10;274.125.613.216.163;352;Zoo
13;11;333.470.817.338.252;2802;Museum
13;14;397.817.916.799.749;164;Museum
13;15;405.620.537.581.173;2030;Entertainment
13;16;329.309.124.177.563;4539;Museum
13;17;45.636.858.604.996;5533;Historical
13;18;420.743.276.858.896;963;Historical
13;19;440.079.809.760.337;268;Museum
13;20;408.517.626.076.241;1761;Historical
13;21;511.020.734.576.486;932;Museum
13;22;605.846.808.139.209;155;Museum
13;23;400.937.603.049.421;1056;Historical
13;24;128.688.792.817.672;572;Park
13;25;400.663.499.031.474;1042;Historical
13;26;356.875.072.727.576;860;Historical
13;27;468.407.195.749.796;453;Cultural
13;28;523.168.288.546.796;79;Museum
13;29;135.751.937.748.344;122;Park
14;1;468.588.350.807.414;1399;Palace
14;2;541.341.952.765.142;1478;Zoo
14;3;251.323.262.439.664;1243;Entertainment
14;4;297.911.078.543.597;1042;Museum
14;5;286.009.666.178.473;1750;Palace
14;6;452.286.382.844.012;1581;Museum
14;7;203.746.676.412.166;539;Palace
14;8;500.383.907.518.318;571;Structure
14;9;450.670.950.175.823;1113;Museum
14;10;137.919.295.727.499;352;Zoo
14;11;678.503.454.957.032;2802;Museum
14;13;397.817.916.799.749;131;Museum
14;15;101.003.846.228.454;2030;Entertainment
14;16;685.752.429.748.001;4539;Museum
14;17;588.345.514.473.967;5533;Historical
14;18;33.244.380.453.489;963;Historical
14;19;640.120.207.382.843;268;Museum
14;20;102.389.130.782.515;1761;Historical
14;21;119.873.143.789.574;932;Museum
14;22;211.794.442.923.677;155;Museum
14;23;483.934.686.934.346;1056;Historical
14;24;526.047.077.746.023;572;Park
14;25;876.232.317.168.969;1042;Historical
14;26;577.520.227.417.844;860;Historical
14;27;731.613.488.215.355;453;Cultural
14;28;2.884.483.160.348;79;Museum
14;29;533.354.999.450.709;122;Park
15;1;476.952.783.398.054;1399;Palace
15;2;549.544.127.305.524;1478;Zoo
15;3;243.663.759.485.672;1243;Entertainment
15;4;362.469.721.444.632;1042;Museum
15;5;127.188.779.366.674;1750;Palace
15;6;548.676.100.856.599;1581;Museum
15;7;209.345.429.400.212;539;Palace
15;8;490.804.482.713.001;571;Structure
15;9;527.076.960.423.502;1113;Museum
15;10;147.535.978.194.127;352;Zoo
15;11;772.482.921.508.445;2802;Museum
15;13;405.620.537.581.173;131;Museum
15;14;101.003.846.228.454;164;Museum
15;16;768.266.766.952.622;4539;Museum
15;17;523.126.175.125.526;5533;Historical
15;18;344.044.531.645.318;963;Historical
15;19;651.409.052.889.752;268;Museum
15;20;109.304.857.106.774;1761;Historical
15;21;115.435.270.098.231;932;Museum
15;22;205.912.322.169.878;155;Museum
15;23;553.879.963.245.742;1056;Historical
15;24;533.986.687.308.757;572;Park
15;25;156.122.209.088.487;1042;Historical
15;26;600.448.427.013.009;860;Historical
15;27;681.008.368.122.087;453;Cultural
15;28;293.896.690.873.387;79;Museum
15;29;541.249.401.595.279;122;Park
16;1;400.134.281.634.291;1399;Palace
16;2;472.796.284.391.127;1478;Zoo
16;3;319.853.552.263.605;1243;Entertainment
16;4;771.004.094.093.716;1042;Museum
16;5;65.767.882.848.515;1750;Palace
16;6;293.516.459.646.518;1581;Museum
16;7;220.674.797.252.857;539;Palace
16;8;565.564.155.690.376;571;Structure
16;9;245.504.242.133.804;1113;Museum
16;10;765.208.124.339.341;352;Zoo
16;11;173.247.360.408.581;2802;Museum
16;13;329.309.124.177.563;131;Museum
16;14;685.752.429.748.001;164;Museum
16;15;768.266.766.952.622;2030;Entertainment
16;17;127.075.510.209.695;5533;Historical
16;18;933.472.225.769.654;963;Historical
16;19;117.967.413.753.838;268;Museum
16;20;119.600.385.695.497;1761;Historical
16;21;184.587.452.833.424;932;Museum
16;22;278.435.431.276.701;155;Museum
16;23;82.489.659.430.774;1056;Historical
16;24;457.482.308.481.752;572;Park
16;25;714.968.421.593.529;1042;Historical
16;26;485.061.629.189.683;860;Historical
16;27;139.823.072.052.164;453;Cultural
16;28;303.133.951.836.231;79;Museum
16;29;464.801.446.136.982;122;Park
17;1;526.377.084.385.089;1399;Palace
17;2;599.385.823.210.889;1478;Zoo
17;3;192.907.173.063.751;1243;Entertainment
17;4;595.180.119.406.246;1042;Museum
17;5;615.440.611.724.056;1750;Palace
17;6;10.129.837.164.859;1581;Museum
17;7;198.516.346.383.969;539;Palace
17;8;449.080.040.606.257;571;Structure
17;9;103.897.540.287.183;1113;Museum
17;10;192.044.959.002.125;352;Zoo
17;11;124.175.265.491.052;2802;Museum
17;13;45.636.858.604.996;131;Museum
17;14;588.345.514.473.967;164;Museum
17;15;523.126.175.125.526;2030;Entertainment
17;16;127.075.510.209.695;4539;Museum
17;18;407.828.712.736.226;963;Historical
17;19;482.634.745.514.779;268;Museum
17;20;113.807.914.022.952;1761;Historical
17;21;652.758.751.915.526;932;Museum
17;22;153.628.197.321.941;155;Museum
17;23;719.928.842.917.654;1056;Historical
17;24;584.441.535.180.989;572;Park
17;25;557.903.461.815.164;1042;Historical
17;26;110.942.152.713.485;860;Historical
17;27;187.173.587.222.966;453;Cultural
17;28;279.982.696.931.008;79;Museum
17;29;591.796.490.945.775;122;Park
18;1;489.069.474.257.062;1399;Palace
18;2;56.242.905.881.948;1478;Zoo
18;3;230.437.558.432.013;1243;Entertainment
18;4;190.421.787.436.193;1042;Museum
18;5;347.130.473.152.638;1750;Palace
18;6;651.073.124.760.956;1581;Museum
18;7;177.350.780.069.754;539;Palace
18;8;489.839.757.826.921;571;Structure
18;9;729.649.742.055.524;1113;Museum
18;10;15.274.097.795.949;352;Zoo
18;11;872.725.052.567.409;2802;Museum
18;13;420.743.276.858.896;131;Museum
18;14;33.244.380.453.489;164;Museum
18;15;344.044.531.645.318;2030;Entertainment
18;16;933.472.225.769.654;4539;Museum
18;17;407.828.712.736.226;5533;Historical
18;19;309.314.245.108.409;268;Museum
18;20;813.980.445.873.471;1761;Historical
18;21;912.478.031.276.868;932;Museum
18;22;185.441.207.692.856;155;Museum
18;23;323.022.859.916.153;1056;Historical
18;24;548.232.475.433.805;572;Park
18;25;254.524.994.791.794;1042;Historical
18;26;90.869.936.495.026;860;Historical
18;27;480.852.148.904.555;453;Cultural
18;28;261.481.986.077.413;79;Museum
18;29;555.706.369.224.004;122;Park
19;1;505.868.584.445.157;1399;Palace
19;2;579.634.205.559.809;1478;Zoo
19;3;217.848.942.394.224;1243;Entertainment
19;4;412.860.102.364.791;1042;Museum
19;5;652.658.410.804.722;1750;Palace
19;6;886.659.806.069.866;1581;Museum
19;7;152.139.450.254.978;539;Palace
19;8;486.250.690.943.928;571;Structure
19;9;100.296.422.418.388;1113;Museum
19;10;167.726.970.652.559;352;Zoo
19;11;108.735.978.489.679;2802;Museum
19;13;440.079.809.760.337;131;Museum
19;14;640.120.207.382.843;164;Museum
19;15;651.409.052.889.752;2030;Entertainment
19;16;117.967.413.753.838;4539;Museum
19;17;482.634.745.514.779;5533;Historical
19;18;309.314.245.108.409;963;Historical
19;20;665.540.211.713.801;1761;Historical
19;21;721.286.876.226.135;932;Museum
19;22;166.691.632.043.541;155;Museum
19;23;392.239.988.081.343;1056;Historical
19;24;566.530.443.952.516;572;Park
19;25;55.833.947.903.477;1042;Historical
19;26;12.128.106.635.449;860;Historical
19;27;427.110.497.343.601;453;Cultural
19;28;235.106.673.529.879;79;Museum
19;29;574.150.672.600.865;122;Park
20;1;467.742.791.178.334;1399;Palace
20;2;541.792.928.851.075;1478;Zoo
20;3;273.456.338.874.762;1243;Entertainment
20;4;730.663.364.114.275;1042;Museum
20;5;101.716.101.062.593;1750;Palace
20;6;951.972.356.662.205;1581;Museum
20;7;103.696.761.628.435;539;Palace
20;8;54.837.903.585.212;571;Structure
20;9;114.498.693.398.148;1113;Museum
20;10;136.318.900.623.438;352;Zoo
20;11;103.693.459.511.901;2802;Museum
20;13;408.517.626.076.241;131;Museum
20;14;102.389.130.782.515;164;Museum
20;15;109.304.857.106.774;2030;Entertainment
20;16;119.600.385.695.497;4539;Museum
20;17;113.807.914.022.952;5533;Historical
20;18;813.980.445.873.471;963;Historical
20;19;665.540.211.713.801;268;Museum
20;21;12.740.463.296.072;932;Museum
20;22;215.092.401.431.982;155;Museum
20;23;540.283.078.830.498;1056;Historical
20;24;531.222.611.373.014;572;Park
20;25;941.837.642.745.779;1042;Historical
20;26;146.643.683.222.208;860;Historical
20;27;109.053.980.853.771;453;Cultural
20;28;188.170.502.703.393;79;Museum
20;29;539.122.805.218.572;122;Park
21;1;577.724.661.378.026;1399;Palace
21;2;651.408.687.723.099;1478;Zoo
21;3;146.956.590.436.414;1243;Entertainment
21;4;108.533.195.180.377;1042;Museum
21;5;122.228.399.206.344;1750;Palace
21;6;156.219.270.301.338;1581;Museum
21;7;178.910.238.217.398;539;Palace
21;8;421.496.984.520.395;571;Structure
21;9;163.525.965.403.565;1113;Museum
21;10;239.688.752.560.533;352;Zoo
21;11;177.936.118.180.828;2802;Museum
21;13;511.020.734.576.486;131;Museum
21;14;119.873.143.789.574;164;Museum
21;15;115.435.270.098.231;2030;Entertainment
21;16;184.587.452.833.424;4539;Museum
21;17;652.758.751.915.526;5533;Historical
21;18;912.478.031.276.868;963;Historical
21;19;721.286.876.226.135;268;Museum
21;20;12.740.463.296.072;1761;Historical
21;22;948.943.286.433.275;155;Museum
21;23;111.123.530.710.726;1056;Historical
21;24;637.958.116.724.229;572;Park
21;25;114.410.741.750.328;1042;Historical
21;26;175.265.900.533.747;860;Historical
21;27;475.078.461.320.825;453;Cultural
21;28;251.106.428.935.203;79;Museum
21;29;645.524.363.294.946;122;Park
22;1;672.533.409.693.184;1399;Palace
22;2;746.256.009.369.237;1478;Zoo
22;3;665.909.281.679.405;1243;Entertainment
22;4;203.206.953.230.502;1042;Museum
22;5;21.435.853.944.614;1750;Palace
22;6;25.054.814.164.781;1581;Museum
22;7;236.129.403.149.744;539;Palace
22;8;348.632.140.042.448;571;Structure
22;9;256.464.488.796.133;1113;Museum
22;10;33.441.515.416.158;352;Zoo
22;11;272.554.080.861.509;2802;Museum
22;13;605.846.808.139.209;131;Museum
22;14;211.794.442.923.677;164;Museum
22;15;205.912.322.169.878;2030;Entertainment
22;16;278.435.431.276.701;4539;Museum
22;17;153.628.197.321.941;5533;Historical
22;18;185.441.207.692.856;963;Historical
22;19;166.691.632.043.541;268;Museum
22;20;215.092.401.431.982;1761;Historical
22;21;948.943.286.433.275;932;Museum
22;23;205.854.491.816.731;1056;Historical
22;24;732.851.702.271.537;572;Park
22;25;207.318.974.012.572;1042;Historical
22;26;264.008.397.140.257;860;Historical
22;27;138.805.274.813.827;453;Cultural
22;28;288.715.674.704.125;79;Museum
22;29;740.415.098.234.635;122;Park
23;1;466.680.988.089.102;1399;Palace
23;2;540.428.161.280.519;1478;Zoo
23;3;255.716.972.304.637;1243;Entertainment
23;4;191.790.036.841.787;1042;Museum
23;5;47.838.190.386.049;1750;Palace
23;6;534.596.985.706.738;1581;Museum
23;7;155.848.420.081.935;539;Palace
23;8;519.966.170.527.531;571;Structure
23;9;690.679.659.391.929;1113;Museum
23;10;128.574.783.413.336;352;Zoo
23;11;711.612.082.097.495;2802;Museum
23;13;400.937.603.049.421;131;Museum
23;14;483.934.686.934.346;164;Museum
23;15;553.879.963.245.742;2030;Entertainment
23;16;82.489.659.430.774;4539;Museum
23;17;719.928.842.917.654;5533;Historical
23;18;323.022.859.916.153;963;Historical
23;19;392.239.988.081.343;268;Museum
23;20;540.283.078.830.498;1761;Historical
23;21;111.123.530.710.726;932;Museum
23;22;205.854.491.816.731;155;Museum
23;24;527.310.448.769.871;572;Park
23;25;401.589.352.722.204;1042;Historical
23;26;970.658.222.409.524;860;Historical
23;27;751.608.215.318.053;453;Cultural
23;28;240.599.610.565.966;79;Museum
23;29;534.934.493.758.418;122;Park
24;1;67.467.400.892.575;1399;Palace
24;2;279.073.609.541.059;1478;Zoo
24;3;777.319.076.111.429;1243;Entertainment
24;4;529.943.596.153.479;1042;Museum
24;5;523.246.960.129.929;1750;Palace
24;6;483.595.361.713.583;1581;Museum
24;7;583.743.057.261.838;539;Palace
24;8;101.050.173.404.427;571;Structure
24;9;48.128.375.747.167;1113;Museum
24;10;399.333.946.525.869;352;Zoo
24;11;461.025.698.322.161;2802;Museum
24;13;128.688.792.817.672;131;Museum
24;14;526.047.077.746.023;164;Museum
24;15;533.986.687.308.757;2030;Entertainment
24;16;457.482.308.481.752;4539;Museum
24;17;584.441.535.180.989;5533;Historical
24;18;548.232.475.433.805;963;Historical
24;19;566.530.443.952.516;268;Museum
24;20;531.222.611.373.014;1761;Historical
24;21;637.958.116.724.229;932;Museum
24;22;732.851.702.271.537;155;Museum
24;23;527.310.448.769.871;1056;Historical
24;25;52.867.443.267.355;1042;Historical
24;26;485.558.244.628.503;860;Historical
24;27;596.081.922.268.753;453;Cultural
24;28;628.820.831.147.973;79;Museum
24;29;823.844.039.936.781;122;Park
25;1;470.623.866.548.387;1399;Palace
25;2;543.600.182.602.957;1478;Zoo
25;3;24.869.638.492.841;1243;Entertainment
25;4;212.590.753.892.689;1042;Museum
25;5;946.376.833.690.911;1750;Palace
25;6;457.199.839.466.107;1581;Museum
25;7;195.151.406.512.043;539;Palace
25;8;500.953.578.785.758;571;Structure
25;9;492.033.124.859.564;1113;Museum
25;10;137.725.016.686.352;352;Zoo
25;11;686.380.455.387.663;2802;Museum
25;13;400.663.499.031.474;131;Museum
25;14;876.232.317.168.969;164;Museum
25;15;156.122.209.088.487;2030;Entertainment
25;16;714.968.421.593.529;4539;Museum
25;17;557.903.461.815.164;5533;Historical
25;18;254.524.994.791.794;963;Historical
25;19;55.833.947.903.477;268;Museum
25;20;941.837.642.745.779;1761;Historical
25;21;114.410.741.750.328;932;Museum
25;22;207.318.974.012.572;155;Museum
25;23;401.589.352.722.204;1056;Historical
25;24;52.867.443.267.355;572;Park
25;26;655.000.231.112.499;860;Historical
25;27;685.231.085.221.194;453;Cultural
25;28;279.830.973.018.293;79;Museum
25;29;536.041.255.465.363;122;Park
26;1;431.499.120.118.128;1399;Palace
26;2;502.712.579.040.798;1478;Zoo
26;3;296.887.137.181.193;1243;Entertainment
26;4;82.607.504.505.882;1042;Museum
26;5;561.571.011.803.772;1750;Palace
26;6;544.948.542.988.082;1581;Museum
26;7;250.340.276.303.984;539;Palace
26;8;52.875.434.296.502;571;Structure
26;9;346.404.292.497.162;1113;Museum
26;10;123.267.944.478.961;352;Zoo
26;11;621.992.028.410.884;2802;Museum
26;13;356.875.072.727.576;131;Museum
26;14;577.520.227.417.844;164;Museum
26;15;600.448.427.013.009;2030;Entertainment
26;16;485.061.629.189.683;4539;Museum
26;17;110.942.152.713.485;5533;Historical
26;18;90.869.936.495.026;963;Historical
26;19;12.128.106.635.449;268;Museum
26;20;146.643.683.222.208;1761;Historical
26;21;175.265.900.533.747;932;Museum
26;22;264.008.397.140.257;155;Museum
26;23;970.658.222.409.524;1056;Historical
26;24;485.558.244.628.503;572;Park
26;25;655.000.231.112.499;1042;Historical
26;27;127.787.315.607.362;453;Cultural
26;28;334.705.224.077.375;79;Museum
26;29;492.536.147.308.187;122;Park
